1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10.6,2.766666667,18.86666667,50.02,40.64666667,2.48,16.6,3.328384063,0.807837,3.542494926,40.66,18.7,85.72,-1.221451613,98.4838
11.6,4.4,17.6,38.39,31.38666667,5.08,13.32,-40.01814882,1.24264,3.342677756,44.78,21.03,86.74333333,-1.775483871,100.7820333
9.8,5.266666667,14.29,37.45,25.86666667,3.04,13.37,-48,3.448955,3.507607777,44.63,19.37,86.24,-2.075,99.91153333
8.8,3.166666667,14.01666667,31.8,25.06,4.85,13.2,57.50670241,7.604128,4.088783418,52.74,22.74,83.36333333,-2.472741935,96.6865
11.1,2.833333333,14.01,25.89,23.46333333,1.86,12.4,-11.68722309,4.915918,4.73138903,46.22,16.37,83.12666667,-3.072459016,95.6024
11.1,1.733333333,14.79,25.56,17.94666667,-1.46,8.71,20.20507648,5.441844,4.354291069,53.1,19.87,83.01333333,-3.33734375,96.8203
10.8,1.333333333,17.18666667,25.94,16.53,6.833333333,8.58,38.15934066,5.733151,4.382638232,53.83,18.72,85.1,-3.79109375,97.88713333
12.4,1.366666667,17.95333333,26.33,15.86,7.533333333,8.61,-17.0212766,6.896966,4.495270719,57.88,20.96,87.25,-4.28852459,98.9035
12.5,1.2,18.93666667,27.1,17.77333333,6.333333333,8.03,70.18305085,5.855492,5.028039853,55.94,18.4,87.31333333,-4.640322581,100.2693333
13.7,1.366666667,18.81,27.55,19.64666667,6.366666667,7.53,28.83512795,7.226205,4.865931782,55.81,17.67,84.74333333,-5.021428571,99.0457
12.2,1.266666667,17.71,24.88,20.57333333,6.7,7.33,15.21177172,8.695138,4.615968303,55.28,17.06,84.62333333,-5.091111111,98.93476667
12.5,2.033333333,16.94666667,20.11,27.41,6.233333333,7.09,8.897435897,11.232865,5.070078594,58.84,18.68,86.36333333,-4.988225806,97.51163333
13.8,2.733333333,17.01,21.91,40.70333333,6,6.63,13.38538762,9.121515,5.841624143,57.5,15.86,88.76333333,-5.007580645,97.65516667
