1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10.1,103.9,19.43833333,39.415,30.74,7.6,14.1225,-19.09662664,3.27589,1.087577588,45.7025,20.46,85.51666667,-1.88768,98.96596667
11.4,101.8,14.27666667,25.93,18.45,6.38,9.575,3.599823322,5.74696975,1.240296082,52.7575,18.98,84.6225,-3.62096,97.30333333
12.7,101.5,18.22166667,24.91,21.35083333,6.766666667,7.495,35.60008527,8.252425,1.346747631,56.4675,17.9525,85.76083333,-4.93624,98.94035833
14.2,104.8,17.15833333,21.275,51.46583333,6.341666667,6.355,14.24933187,9.97646575,1.598670548,57.9125,14.735,88.81166667,-4.53123506,94.286675
9.7,105.9,17.815,16.1725,27.37083333,10.575,4.8125,34.9478493,9.14464975,1.718247344,60.9375,13.7675,96.43416667,-1.826454183,90.98250833
9.4,99.3,20.0125,34.7125,23.30083333,0.875,1.7625,95.30345053,4.80590025,2.385028153,55.8225,9.645,100.8266667,-0.47352,95.33195
10.6,103.3,25.67,21.0725,22.48166667,8.908333333,1.25,-17.26445927,3.7958495,2.039278123,66.3175,13.11,99.99916667,-0.317649402,90.77553333
9.6,105.4,17.50666667,21.7,17.56833333,7.841666667,1,-5.588439452,1.7279375,1.824593644,71.7625,14.8925,102.5791667,-0.18088,86.28040833
7.9,102.6,13.23333333,19.685,12.47666667,1.358333333,0.945,9.663534161,2.5221165,1.821150404,74.2175,17.1975,108.7133333,-0.17444,88.48274167
7.8,102.6,14.725,18.905,11.475,1.316666667,0.9725,8.386561997,1.59318425,1.959658767,76.7025,17.135,115.7191667,-0.13116,88.7763
7.4,102,13.78333333,15.1325,11.325,7.483333333,1.1325,10.00607315,2.17989325,1.961489401,76.415,17.4575,118.445,-0.12112,90.799175
7,101.4,11.99166667,12.052875,18.10416667,-3.6,1.5375,19.8194514,2.7622715,1.982872334,68.125,30.015,129.485,-0.322709163,101.2549333
6.8,102.0028,13.10833333,8.7550555,14.9675,0.791666667,1.75,7.901091306,1.84160775,1.895879646,61.75,27.6675,124.6433333,-0.61432,105.4615
6.9,101.6,10.55,1.384527,17.36666667,9.391666667,1.74,6.936635589,1.5633415,1.702984393,64.25,33.4025,120.9875,-1.20288,104.9077833
6.7,102.1,8.566666667,0.5,15.18166667,0.857251244,1.8275,19.5458142,0.13063375,1.438705315,64,39.1575,122.5525,-2.330843373,104.051825
6.1,102.9,8.3,2.69,14.13,0.640437158,1.8325,4.025658314,0.981718,1.49565753,60.75,39.28,122.0258333,-2.05212,107.0608083
